gbifID,wc2.1_2.5m_bio_1,wc2.1_2.5m_bio_2,wc2.1_2.5m_bio_3,wc2.1_2.5m_bio_4,wc2.1_2.5m_bio_5,wc2.1_2.5m_bio_6,wc2.1_2.5m_bio_7,wc2.1_2.5m_bio_8,wc2.1_2.5m_bio_9,wc2.1_2.5m_bio_10,wc2.1_2.5m_bio_11,wc2.1_2.5m_bio_12,wc2.1_2.5m_bio_13,wc2.1_2.5m_bio_14,wc2.1_2.5m_bio_15,wc2.1_2.5m_bio_16,wc2.1_2.5m_bio_17,wc2.1_2.5m_bio_18,wc2.1_2.5m_bio_19
1580504334,21.85099983215332,12.998000144958496,73.65140533447266,145.4668426513672,31.18000030517578,13.532000541687012,17.647998809814453,22.739999771118164,20.012666702270508,23.347999572753906,19.777334213256836,616,135,3,83.1328353881836,277,14,173,18
1580495604,19.534666061401367,11.873332977294922,73.11165618896484,123.68779754638672,28.260000228881836,12.020000457763672,16.239999771118164,20.47533416748047,17.993999481201172,20.945999145507812,17.818666458129883,808,173,16,75.27527618408203,387,52,291,63
1580495016,19.881999969482422,12.860666275024414,81.47914123535156,81.22345733642578,27.827999114990234,12.043999671936035,15.7839994430542,20.413333892822266,18.902000427246094,20.742666244506836,18.719999313354492,991,156,28,44.2406120300293,380,124,368,128
1579988175,19.70566749572754,12.732000350952148,81.406646728515625,82.1116714477539,27.6200008392334,11.979999542236328,15.64000129699707,20.243999481201172,18.72800064086914,20.577999114990234,18.529333114624023,947,160,25,48.85027313232422,374,108,368,113
1579988152,24.88016700744629,15.587667465209961,68.6318588256836,201.42556762695312,36.007999420166016,13.295999526977539,22.711999893188477,25.809999465942383,22.152000427246094,27.100666046142578,22.152000427246094,634,145,4,75.95201873779297,322,35,245,35
1579987937,8.748167037963867,10.211000442504883,73.88568115234375,81.96033477783203,16.24799919128418,2.427999973297119,13.819999694824219,9.619999885559082,8.8426666259765625,9.711999893188477,7.6519999504089355,1820,319,57,52.48826599121094,710,260,549,299
1579987473,20.26966667175293,11.404666900634766,75.8087387084961,81.70629119873047,27.299999237060547,12.255999565124512,15.043999671936035,20.932666778564453,19.062000274658203,20.956666946411133,19.062000274658203,861,138,12,61.24626159667969,364,59,318,59
1579987446,18.325332641601562,10.889999389648438,70.07722473144531,140.514892578125,25.93199920654297,10.392000198364258,15.539999008178711,19.549333572387695,16.704666137695312,19.549333572387695,16.2586669921875,756,174,2,89.9119644165039,392,6,392,10
1579987409,20.452165603637695,17.888999938964844,53.99964141845703,581.91497802734375,35.071998596191406,1.944000005722046,33.12799835205078,26.16933250427246,12.795332908630371,26.913333892822266,12.795332908630371,241,47,1,87.04695892333984,138,5,115,5
1579987297,23.888334274291992,13.308667182922363,57.27606201171875,276.1925964355469,34.816001892089844,11.579999923706055,23.23600196838379,25.37933349609375,20.010000228881836,26.781999588012695,20.010000228881836,920,229,0,116.32678985595703,626,1,290,1
1579987291,21.675832748413086,13.5910005569458,61.968814849853516,299.55609130859375,30.6560001373291,8.723999977111816,21.93199920654297,24.82266616821289,17.558666229248047,24.82266616821289,17.558666229248047,624,113,8,79.51436614990234,327,26,327,26
1579987146,19.70566749572754,12.732000350952148,81.406646728515625,82.1116714477539,27.6200008392334,11.979999542236328,15.64000129699707,20.243999481201172,18.72800064086914,20.577999114990234,18.529333114624023,947,160,25,48.85027313232422,374,108,368,113
1579987040,17.6614990234375,11.635000228881836,73.90116882324219,98.896636962890625,26.152000427246094,10.407999992370605,15.744000434875488,18.525333404541016,16.30066680908203,18.667999267578125,16.30066680908203,1353,292,43,78.58370208740234,638,141,426,141
1579986942,18.502500534057617,11.56433391571045,70.58308410644531,141.98159790039062,26.468000411987305,10.083999633789062,16.384000778198242,19.728666305541992,16.874000549316406,19.728666305541992,16.40999984741211,740,163,2,87.60447692871094,379,8,379,13
1579986818,19.789167404174805,11.551000595092773,75.83377838134766,93.7226333618164,26.847999572753906,11.616000175476074,15.231999397277832,20.58733367919922,18.405332565307617,20.617334365844727,18.405332565307617,828,135,10,66.170074462890625,362,47,325,47
1579986773,18.325332641601562,10.889999389648438,70.07722473144531,140.514892578125,25.93199920654297,10.392000198364258,15.539999008178711,19.549333572387695,16.704666137695312,19.549333572387695,16.2586669921875,756,174,2,89.9119644165039,392,6,392,10
1579986508,18.325332641601562,10.889999389648438,70.07722473144531,140.514892578125,25.93199920654297,10.392000198364258,15.539999008178711,19.549333572387695,16.704666137695312,19.549333572387695,16.2586669921875,756,174,2,89.9119644165039,392,6,392,10
1579986406,19.70566749572754,12.732000350952148,81.406646728515625,82.1116714477539,27.6200008392334,11.979999542236328,15.64000129699707,20.243999481201172,18.72800064086914,20.577999114990234,18.529333114624023,947,160,25,48.85027313232422,374,108,368,113
1579986290,21.455333709716797,13.9913330078125,58.423805236816406,356.76666259765625,31.256000518798828,7.308000087738037,23.947999954223633,25.224000930786133,16.545333862304688,25.224000930786133,16.545333862304688,631,111,8,75.9554672241211,319,28,319,28
1579986172,19.70566749572754,12.732000350952148,81.406646728515625,82.1116714477539,27.6200008392334,11.979999542236328,15.64000129699707,20.243999481201172,18.72800064086914,20.577999114990234,18.529333114624023,947,160,25,48.85027313232422,374,108,368,113
1579986151,19.70566749572754,12.732000350952148,81.406646728515625,82.1116714477539,27.6200008392334,11.979999542236328,15.64000129699707,20.243999481201172,18.72800064086914,20.577999114990234,18.529333114624023,947,160,25,48.85027313232422,374,108,368,113
1579986055,22.856666564941406,13.923999786376953,60.31884002685547,331.6361999511719,32.57999801635742,9.496000289916992,23.08399772644043,26.387332916259766,18.329999923706055,26.387332916259766,18.329999923706055,494,90,5,80.40274810791016,260,19,260,19
1579986018,17.520000457763672,9.97800064086914,67.09252166748047,146.41973876953125,24.88800048828125,10.015999794006348,14.872000694274902,18.82200050354004,15.837333679199219,18.82200050354004,15.380000114440918,835,181,4,83.67414093017578,410,14,410,23
1572370381,18.2358341217041,11.281000137329102,70.24283599853516,142.49110412597656,26,9.9399995803833,16.060001373291016,19.46066665649414,16.62066650390625,19.46066665649414,16.143999099731445,753,167,3,86.99134826660156,385,9,385,15
1572370279,18.2358341217041,11.281000137329102,70.24283599853516,142.49110412597656,26,9.9399995803833,16.060001373291016,19.46066665649414,16.62066650390625,19.46066665649414,16.143999099731445,753,167,3,86.99134826660156,385,9,385,15
1572351724,20.30816650390625,12.102333068847656,76.538909912109375,91.33788299560547,27.64000129699707,11.82800006866455,15.81200122833252,21.119333267211914,18.95133399963379,21.15333366394043,18.95133399963379,823,132,15,59.67874526977539,350,65,308,65
1572338888,22.618833541870117,13.727666854858398,61.08787155151367,303.3512268066406,31.899999618530273,9.427999496459961,22.472000122070312,25.83533477783203,18.45133399963379,25.83533477783203,18.45133399963379,595,115,5,81.39100646972656,316,20,316,20
1571192603,21.756834030151367,13.081666946411133,73.1800537109375,148.01766967773438,31.26799964904785,13.392000198364258,17.875999450683594,22.625999450683594,19.8973331451416,23.321332931518555,19.660667419433594,702,157,6,83.73514556884766,316,21,183,27
1571191482,17.590499877929688,14.172333717346191,81.61906433105469,69.83518981933594,26.847999572753906,9.484000205993652,17.363998413085938,18.413333892822266,17.91266632080078,18.494667053222656,16.770000457763672,761,124,26,40.672908782958984,275,107,217,199
1571181206,28.010499954223633,12.587666511535645,60.413063049316406,209.22413635253906,38.69599914550781,17.85999870300293,20.836000442504883,26.025333404541016,27.40599822998047,31.097332000732422,26.025333404541016,941,238,0,111.65734100341797,624,3,137,624
1571181187,28.427499771118164,12.97833251953125,60.207515716552734,213.65972900390625,39.332000732421875,17.775999069213867,21.556001663208008,26.450666427612305,27.54800033569336,31.597999572753906,26.450666427612305,901,231,0,112.98456573486328,601,2,130,601
1571181153,27.706499099731445,11.932332992553711,61.633949279785156,195.6129150390625,37.59600067138672,18.236000061035156,19.360000610351562,25.775333404541016,27.124000549316406,30.579999923706055,25.775333404541016,962,242,0,111.31126403808594,637,4,140,637
1571181151,27.842666625976562,12.120667457580566,61.68906021118164,198.5559844970703,38.02799987792969,18.3799991607666,19.648000717163086,25.795333862304688,27.437332153320312,30.720001220703125,25.795333862304688,970,241,0,109.94239044189453,636,4,146,636
1571181138,28.002832412719727,12.518999099731445,60.33835220336914,206.8462677001953,38.55999755859375,17.812000274658203,20.747997283935547,26.123332977294922,27.254667282104492,31.068666458129883,26.123332977294922,950,238,0,110.8112564086914,625,3,142,625
1571181136,28.101167678833008,12.322333335876465,60.71311569213867,206.0350799560547,38.444000244140625,18.148000717163086,20.29599952697754,26.16266632080078,27.345333099365234,31.15333366394043,26.16266632080078,940,238,0,112.01715087890625,624,3,136,624
