uuid,x,y,date,season,rained,planted
aac48cd5,27.05,-17.003,2015-11-22,1,1,1
ace80c2e,27.306,-16.931,2015-11-22,1,1,0
ae3e29b7,26.977,-16.819,2015-11-22,1,1,0
afaecd2e,27.305,-16.793,2015-11-22,1,1,1
b0e82f78,27.339,-16.834,2015-11-22,1,1,1
b3d90826,26.922,-16.526,2015-11-22,1,1,1
b4a51504,26.944,-16.471,2015-11-22,1,0,0
b66a5a55,26.974,-16.766,2015-11-22,1,1,0
b825d94e,27.113,-16.773,2015-11-22,1,1,1
b9b6b017,27.086,-16.961,2015-11-22,1,0,0
bb4616c2,27.102,-16.906,2015-11-22,1,1,1
bb876912,26.936,-16.505,2015-11-22,1,0,0
bba2dfd0,27.339,-16.797,2015-11-22,1,1,1
bc32b0b4,26.864,-16.599,2015-11-22,1,1,1
bd8c8fda,26.955,-16.558,2015-11-22,1,1,0
bf8b44c4,26.791,-16.874,2015-11-22,1,1,1
c07fca86,27.084,-16.999,2015-11-22,1,1,1
c276acb6,26.906,-16.857,2015-11-22,1,0,0
c42827cf,27.096,-16.949,2015-11-22,1,1,1
c482ffa7,27.234,-16.923,2015-11-22,1,1,1
c56ed10c,26.967,-16.821,2015-11-22,1,1,0
c647d0ba,27.111,-16.933,2015-11-22,1,1,1
c69577b4,27.313,-16.784,2015-11-22,1,1,1
c784ee02,26.859,-16.194,2015-11-22,1,1,1
ca6fc5e6,27.105,-16.915,2015-11-22,1,1,1
cc984ea8,26.9,-16.197,2015-11-22,1,1,0
cca69f84,26.974,-16.752,2015-11-22,1,1,0
d16f790f,27.016,-16.932,2015-11-22,1,1,1
d1e20dc3,26.912,-16.254,2015-11-22,1,0,1
d263ea45,26.827,-16.82,2015-11-22,1,1,1
d410cd79,26.936,-16.479,2015-11-22,1,1,0
d644ee96,26.867,-16.61,2015-11-22,1,1,1
d9297c58,27.095,-16.891,2015-11-22,1,1,1
de20cb83,27.093,-16.937,2015-11-22,1,1,1
e0bd44cb,26.82,-16.834,2015-11-22,1,1,1
e27cd268,27.056,-16.935,2015-11-22,1,1,1
e36fdd30,26.947,-16.746,2015-11-22,1,1,1
e4899f8b,26.984,-16.944,2015-11-22,1,1,0
e91d6065,27.135,-16.77,2015-11-22,1,0,1
ee2f89cf,27.09,-16.971,2015-11-22,1,1,1
f0118efa,27.286,-16.932,2015-11-22,1,1,1
f08180bf,27.237,-16.733,2015-11-22,1,0,0
f08a0aa3,27.032,-16.961,2015-11-22,1,1,0
f27f24df,26.814,-16.601,2015-11-22,1,1,0
f58e95e7,26.934,-16.51,2015-11-22,1,1,1
f825b96c,27.06,-16.986,2015-11-22,1,1,1
f838678c,27.052,-16.933,2015-11-22,1,1,1
f89b6638,26.935,-16.5,2015-11-22,1,1,0
fbdacd81,26.999,-16.956,2015-11-22,1,1,0
fc263f78,27.232,-16.72,2015-11-22,1,1,0
fd33886d,26.803,-16.857,2015-11-22,1,1,1
fe096545,27.26,-16.922,2015-11-22,1,1,1
0216b983,26.967,-16.821,2015-11-29,1,1,NA
02671a00,27.254,-16.914,2015-11-29,1,0,NA
0360d642,26.825,-16.604,2015-11-29,1,0,NA
03f4dcca,27.237,-16.733,2015-11-29,1,0,NA
05618404,26.875,-16.611,2015-11-29,1,1,NA
064beba0,26.752,-16.862,2015-11-29,1,1,NA
083a46a2,26.977,-16.765,2015-11-29,1,1,NA
08683ecf,27.284,-16.749,2015-11-29,1,1,0
08eb2224,26.912,-16.248,2015-11-29,1,1,NA
0a2efd25,27.338,-16.794,2015-11-29,1,0,NA
0ab761d6,27.113,-16.95,2015-11-29,1,1,NA
0c0c6ed8,26.794,-16.843,2015-11-29,1,0,NA
0cbc4225,26.859,-16.176,2015-11-29,1,1,0
0e49e4ef,26.979,-16.762,2015-11-29,1,1,NA
0eb65faa,27.056,-16.935,2015-11-29,1,0,NA
0ed18f13,26.959,-16.548,2015-11-29,1,1,NA
0ed7bf8d,27.294,-16.746,2015-11-29,1,0,0
0f095777,26.815,-16.599,2015-11-29,1,0,0
107e8347,26.917,-16.25,2015-11-29,1,1,NA
14e7cec2,26.81,-16.601,2015-11-29,1,0,NA
14eb1bc1,26.913,-16.251,2015-11-29,1,1,NA
14f4d804,27.336,-16.834,2015-11-29,1,1,0
158a59a2,27.099,-16.893,2015-11-29,1,1,NA
1a3ed58f,27.276,-16.878,2015-11-29,1,0,NA
1a4008c2,26.859,-16.178,2015-11-29,1,1,NA
1ad68009,27.2,-16.913,2015-11-29,1,0,NA
1c7690e0,27.261,-16.921,2015-11-29,1,1,NA
2596a920,26.941,-17.042,2015-11-29,1,1,NA
25ea180f,27.157,-16.79,2015-11-29,1,0,NA
26b02eaa,27.114,-16.79,2015-11-29,1,1,NA
26ccd1ca,27.279,-16.926,2015-11-29,1,1,NA
27fb5351,27.094,-16.906,2015-11-29,1,0,NA
28706e65,26.969,-16.723,2015-11-29,1,1,0
28c79d87,26.857,-16.191,2015-11-29,1,1,NA
2abd46c3,27.294,-16.744,2015-11-29,1,0,NA
2cad566c,26.877,-16.567,2015-11-29,1,1,NA
30c2e51a,27.313,-16.779,2015-11-29,1,0,NA
3182c9bb,27.086,-16.961,2015-11-29,1,1,0
31d97950,27.052,-16.942,2015-11-29,1,0,0
