Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2010","2010","ha","27291","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2011","2011","ha","37631","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2012","2012","ha","37209","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2013","2013","ha","41810","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2014","2014","ha","28159","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2015","2015","ha","31137","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2016","2016","ha","24170","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2017","2017","ha","26741","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1961","1961","tonnes","608","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1962","1962","tonnes","934","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1963","1963","tonnes","717","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1964","1964","tonnes","214","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1965","1965","tonnes","214","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1966","1966","tonnes","81","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1967","1967","tonnes","199","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1968","1968","tonnes","200","F","FAO estimate"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1969","1969","tonnes","220","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1970","1970","tonnes","101","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1971","1971","tonnes","100","F","FAO estimate"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1972","1972","tonnes","99","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1973","1973","tonnes","100","F","FAO estimate"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1974","1974","tonnes","1284","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1975","1975","tonnes","3487","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1976","1976","tonnes","3948","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1977","1977","tonnes","5324","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1978","1978","tonnes","5341","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1979","1979","tonnes","6528","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1980","1980","tonnes","9765","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1981","1981","tonnes","11835","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1982","1982","tonnes","14130","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1983","1983","tonnes","10936","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1984","1984","tonnes","13221","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1985","1985","tonnes","17156","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1986","1986","tonnes","17998","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1987","1987","tonnes","27668","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1988","1988","tonnes","37123","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1989","1989","tonnes","46610","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1990","1990","tonnes","55011","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1991","1991","tonnes","65236","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1992","1992","tonnes","54490","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1993","1993","tonnes","69286","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1994","1994","tonnes","60944","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1995","1995","tonnes","38019","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1996","1996","tonnes","57595","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1997","1997","tonnes","70810","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1998","1998","tonnes","63925","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","1999","1999","tonnes","69226","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2000","2000","tonnes","75000","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2001","2001","tonnes","80000","*","Unofficial figure"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2002","2002","tonnes","75000","*","Unofficial figure"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2003","2003","tonnes","135000","*","Unofficial figure"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2004","2004","tonnes","82858","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2005","2005","tonnes","136833","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2006","2006","tonnes","93958","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2007","2007","tonnes","115843","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2008","2008","tonnes","113242","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2009","2009","tonnes","195456","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2010","2010","tonnes","172256","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2011","2011","tonnes","237332","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2012","2012","tonnes","253522","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2013","2013","tonnes","273584","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2014","2014","tonnes","201504","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2015","2015","tonnes","214230","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2016","2016","tonnes","159533","","Official data"
"QC","Crops","251","Zambia","5510","Production","15","Wheat","2017","2017","tonnes","193713","","Official data"
